[INFO ]10:15:44,738, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:44,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:46,738, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:46,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:48,738, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:48,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:50,738, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:50,750, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:52,739, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:52,752, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:54,739, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:54,752, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:56,739, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:56,752, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:58,746, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:15:58,766, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:03,712, AWT-EventQueue-0,[Class]USBGUI, [Method]actionPerformed, map success
[INFO ]10:16:13,044, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:13,059, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:15,000, Thread-2,[Class]Worker1, [Method]run, Receive Data:124020,75616,942,297912,29308
[INFO ]10:16:15,046, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:15,089, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:17,046, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:17,089, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:19,048, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:19,089, Thread-4,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:19,818, Thread-2,[Class]Worker1, [Method]run, Receive Data:125397,76289,989,298968,29312
[INFO ]10:16:19,819, Thread-2,[Class]Worker1, [Method]run, t_cpu:51.12563543936093
[INFO ]10:16:19,820, Thread-2,[Class]Worker1, [Method]run, app_cpu:3.413217138707335
[INFO ]10:16:19,821, Thread-2,[Class]Worker1, [Method]run, total_memory:291.9609375
[INFO ]10:16:19,821, Thread-2,[Class]Worker1, [Method]run, app_memory:28.625
[INFO ]10:16:21,049, Thread-3,[Class]CpuListener, [Method]run, UI_thread
[INFO ]10:16:21,089, Thread-4,[Class]CpuListener, [Method]run, UI_thread
